TIME,CPIINFL
1947:02,5.673853997
1947:03,8.629548173
1947:04,11.16623476
1948:01,8.386529838
1948:02,6.329334606
1948:03,6.668198785
1948:04,-3.678565491
1949:01,-3.82406792
1949:02,-0.445744579
1949:03,-3.359012042
1949:04,-0.956870927
1950:01,-1.241711171
1950:02,3.040983251
1950:03,7.282530389
1950:04,8.017174778
1951:01,15.93119205
1951:02,3.872746963
1951:03,-0.205602677
1951:04,5.869323807
1952:01,1.517068822
1952:02,1.058535052
1952:03,2.709153715
1952:04,0.449747065
1953:01,-1.15036028
1953:02,1.499814281
1953:03,1.842059388
1953:04,0.694789257
1954:01,0.941002105
1954:02,-0.643604322
1954:03,-1.041861054
1954:04,-1.243859451
1955:01,0.547774751
1955:02,-0.547774751
1955:03,0.298879217
1955:04,1.193288641
1956:01,0.04964319
1956:02,2.622311328
1956:03,4.121218843
1956:04,3.402207631
1957:01,3.277521651
1957:02,3.393699033
1957:03,3.553894136
1957:04,1.929529008
1958:01,4.713898555
1958:02,2.682090974
1958:03,-0.2305077
1958:04,0.414818266
1959:01,0.690409239
1959:02,0.689219629
1959:03,2.060562052
1959:04,2.413349002
1960:01,0.363017609
1960:02,2.396706057
1960:03,0.225364815
1960:04,2.560224337
1961:01,0.805099232
1961:02,-0.134070724
1961:03,1.561369294
1961:04,0.5783884
1962:01,1.553055365
1962:02,1.502930269
1962:03,1.145501389
1962:04,0.966714741
1963:01,1.270746536
1963:02,0.743047801
1963:03,2.437970107
1963:04,1.083600381
1964:01,1.641470986
1964:02,0.646099317
1964:03,0.902789356
1964:04,1.842235356
1965:01,1.237664364
1965:02,2.548590973
1965:03,1.183808073
1965:04,2.105268018
1966:01,3.720179384
1966:02,3.603441403
1966:03,3.448651148
1966:04,3.257015451
1967:01,1.012402464
1967:02,2.419362214
1967:03,4.000033334
1967:04,4.354323058
1968:01,3.917759037
1968:02,3.879758835
1968:03,5.369208133
1968:04,4.921974076
1969:01,4.862144952
1969:02,6.270298982
1969:03,5.452151652
1969:04,6.090578933
1970:01,6.349339663
1970:02,5.560471818
1970:03,4.120208103
1970:04,5.76525453
1971:01,3.352911501
1971:02,3.656028776
1971:03,3.950649398
1971:04,2.937589702
1972:01,3.238884093
1972:02,2.572356132
1972:03,3.192355332
1972:04,4.112333572
1973:01,6.245247863
1973:02,8.279329686
1973:03,7.813922408
1973:04,9.993172196
1974:01,11.72769023
1974:02,10.57085161
1974:03,11.10054315
1974:04,12.0982266
1975:01,8.459142551
1975:02,4.790476419
1975:03,7.940707421
1975:04,7.303915653
1976:01,4.557770451
1976:02,3.561911337
1976:03,6.332586087
1976:04,5.775439634
1977:01,7.272927633
1977:02,6.921746816
1977:03,5.496101857
1977:04,5.852176995
1978:01,6.826832375
1978:02,8.993842942
1978:03,9.200507836
1978:04,9.191213575
1979:01,9.949305898
1979:02,12.51880269
1979:03,12.68197194
1979:04,12.46761657
1980:01,15.47914551
1980:02,13.27371899
1980:03,7.437562701
1980:04,11.05915624
1981:01,10.91326096
1981:02,8.253903814
1981:03,10.98768957
1981:04,6.450596701
1982:01,3.539219692
1982:02,5.737373157
1982:03,6.887222486
1982:04,1.227203962
1983:01,0.27220144
1983:02,4.599306675
1983:03,3.881576385
1983:04,3.976175882
1984:01,5.631129175
1984:02,3.753465497
1984:03,3.463225097
1984:04,3.433497477
1985:01,3.655295643
1985:02,3.622194932
1985:03,2.479090675
1985:04,4.057203986
1986:01,2.074123909
1986:02,-1.95181845
1986:03,2.438288562
1986:04,2.785779617
1987:01,4.799097759
1987:02,4.506421811
1987:03,4.222913122
1987:04,3.716635334
1988:01,3.10927145
1988:02,4.562353424
1988:03,4.847177815
1988:04,4.346051948
1989:01,4.518576773
1989:02,6.414052365
1989:03,3.11536421
1989:04,4.0458157
1990:01,6.827000432
1990:02,3.937855638
1990:03,6.850007657
1990:04,6.734673474
1991:01,2.97915975
1991:02,2.367454507
1991:03,3.037369157
1991:04,3.305000576
1992:01,2.701409206
1992:02,3.065149098
1992:03,3.041839754
1992:04,3.488531246
1993:01,2.8995801
1993:02,2.878712367
1993:03,1.846299147
1993:04,3.302013707
1994:01,2.004560004
1994:02,2.26578152
1994:03,3.688320296
1994:04,2.321435087
1995:01,2.927166849
1995:02,3.256701894
1995:03,2.011152996
1995:04,2.174627516
1996:01,3.540992573
1996:02,3.424678454
1996:03,2.295192781
1996:04,3.4603022
1997:01,2.429581247
1997:02,0.917718621
1997:03,1.995016604
1997:04,2.15009821
1998:01,0.823893185
1998:02,1.314709483
1998:03,2.045621723
1998:04,1.872776958
1999:01,1.459559698
1999:02,2.983584037
1999:03,2.961494268
1999:04,2.939729192
2000:01,3.938590309
2000:02,3.123185884
2000:03,3.638852154
2000:04,2.841521021
2001:01,3.808101877
2001:02,2.794837166
2001:03,1.127502391
2001:04,-0.300356688
2002:01,1.274961237
2002:02,3.132591062
2002:03,2.148750189
2002:04,2.357715428
2003:01,4.092855003
2003:02,-0.654962395
2003:03,2.975070404
2003:04,1.515289987
2004:01,3.370705737
2004:02,3.13001775
2004:03,2.542830389
2004:04,4.27212325
2005:01,2.015117612
2005:02,2.694078054
2005:03,6.013095812
2005:04,3.712793511
2006:01,2.0775786
2006:02,3.593436245
2006:03,3.758372659
2006:04,-1.644063145
2007:01,3.902482774
2007:02,4.504753802
2007:03,2.524069451
2007:04,4.876717996
2008:01,4.3094564
2008:02,5.170191256
2008:03,6.12045741
2008:04,-9.267290143
2009:01,-2.760985374
2009:02,2.121393079
2009:03,3.42685219
2009:04,3.119537337
2010:01,0.633511794
2010:02,-0.141102781
2010:03,1.170871522
2010:04,3.225853419
2011:01,4.246252603
2011:02,4.522392698
2011:03,2.599796251
2011:04,1.791592413
2012:01,2.335703822
2012:02,0.806622978
2012:03,1.623470415
2012:04,2.83280464
2013:01,1.583711826
2013:02,-0.488705916
2013:03,2.024438531
2013:04,1.83444695
2014:01,2.325426287
2014:02,1.896610264
2014:03,0.910110177
2014:04,-0.312511433
2015:01,-2.905196447
2015:02,2.41007446
2015:03,1.365724211
2015:04,0.765685644
2016:01,-0.312599366
